email_id,case_id,cust_id,sender_type,channel,email_timestamp,conversation_phase,email_subject,email_body,customer_behavior_type,customer_tone_label,customer_intent_label,dca_behavior_type,dca_tone_label,dca_intent_label
Call_CASE_00002_9,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00002_10,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00002_11,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00002_12,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00002_13,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00002_14,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00002_15,CASE_00002,CUST_0747,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00002_16,CASE_00002,CUST_0747,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00003_1,CASE_00003,CUST_0162,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00003_2,CASE_00003,CUST_0162,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00003_3,CASE_00003,CUST_0162,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Call_CASE_00003_4,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00003_5,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00003_6,CASE_00003,CUST_0162,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $2500 by end of month.,distressed,frustrated,partial_pay,,,
Email_CASE_00003_7,CASE_00003,CUST_0162,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00003_8,CASE_00003,CUST_0162,Customer,Call,35:19.5,,Phone Call Interaction,I lost my job and can only pay $500 .,distressed,frustrated,partial_pay,,,
Call_CASE_00003_9,CASE_00003,CUST_0162,Customer,Call,35:19.5,,Phone Call Interaction,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Call_CASE_00003_10,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00003_11,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00003_12,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00003_13,CASE_00003,CUST_0162,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $100 by Friday.,distressed,frustrated,partial_pay,,,
Email_CASE_00003_14,CASE_00003,CUST_0162,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00003_15,CASE_00003,CUST_0162,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Call_CASE_00003_16,CASE_00003,CUST_0162,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00004_1,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I am reviewing this internally.,delayer,neutral,delay,,,
Email_CASE_00004_2,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00004_3,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I will get back to you later.,delayer,neutral,delay,,,
Email_CASE_00004_4,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00004_5,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,Please allow more time.,delayer,neutral,delay,,,
Email_CASE_00004_6,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00004_7,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I will get back to you later.,delayer,neutral,delay,,,
Email_CASE_00004_8,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00004_9,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,Please allow more time.,delayer,neutral,delay,,,
Email_CASE_00004_10,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00004_11,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I will get back to you later.,delayer,neutral,delay,,,
Email_CASE_00004_12,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00004_13,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,Please allow more time.,delayer,neutral,delay,,,
Email_CASE_00004_14,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00004_15,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I will get back to you later.,delayer,neutral,delay,,,
Email_CASE_00004_16,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00004_17,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I am reviewing this internally.,delayer,neutral,delay,,,
Email_CASE_00004_18,CASE_00004,CUST_0585,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00004_19,CASE_00004,CUST_0585,Customer,Email,35:19.5,,Payment Follow-up,I will get back to you later.,delayer,neutral,delay,,,
Email_CASE_00005_1,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_2,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00005_3,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $1200 by end of month.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_4,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00005_5,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_6,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00005_7,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $750 by Friday.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_8,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00005_9,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_10,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00005_11,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_12,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00005_13,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00005_14,CASE_00005,CUST_0736,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00005_15,CASE_00005,CUST_0736,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $2500 by 15th Jan.,distressed,frustrated,partial_pay,,,
Email_CASE_00006_1,CASE_00006,CUST_0324,Customer,Email,35:19.5,,Payment Follow-up,,ghost,silent,no_response,,,
Call_CASE_00006_2,CASE_00006,CUST_0324,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00006_3,CASE_00006,CUST_0324,Customer,Email,35:19.5,,Payment Follow-up,,ghost,silent,no_response,,,
Call_CASE_00006_4,CASE_00006,CUST_0324,Customer,Call,35:19.5,,Phone Call Interaction,,ghost,silent,no_response,,,
Email_CASE_00006_5,CASE_00006,CUST_0324,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00006_6,CASE_00006,CUST_0324,Customer,Email,35:19.5,,Payment Follow-up,,ghost,silent,no_response,,,
Email_CASE_00006_7,CASE_00006,CUST_0324,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00006_8,CASE_00006,CUST_0324,Customer,Call,35:19.5,,Phone Call Interaction,,ghost,silent,no_response,,,
Call_CASE_00006_9,CASE_00006,CUST_0324,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00006_10,CASE_00006,CUST_0324,Customer,Email,35:19.5,,Payment Follow-up,,ghost,silent,no_response,,,
Email_CASE_00006_11,CASE_00006,CUST_0324,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00006_12,CASE_00006,CUST_0324,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00007_1,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_2,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00007_3,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $100 by 15th Jan.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_4,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00007_5,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $2500 next week.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_6,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00007_7,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_8,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00007_9,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $5000 next week.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_10,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00007_11,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00007_12,CASE_00007,CUST_0723,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00007_13,CASE_00007,CUST_0723,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $5000 by Friday.,distressed,frustrated,partial_pay,,,
Call_CASE_00008_1,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00008_2,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00008_3,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00008_4,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00008_5,CASE_00008,CUST_0894,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00008_6,CASE_00008,CUST_0894,Customer,Call,35:19.5,,Phone Call Interaction,I can pay $250 .,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00008_7,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00008_8,CASE_00008,CUST_0894,Customer,Call,35:19.5,,Phone Call Interaction,I can pay $750 .,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00008_9,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00008_10,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00008_11,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00008_12,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00008_13,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00008_14,CASE_00008,CUST_0894,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00008_15,CASE_00008,CUST_0894,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00009_1,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I acknowledge the outstanding balance.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_2,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00009_3,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00009_4,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I can pay $750 by end of month.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_5,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_6,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00009_7,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I acknowledge the outstanding balance.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_8,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I acknowledge the outstanding balance.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_9,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_10,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Call_CASE_00009_11,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I can pay $750 next week.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_12,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,I acknowledge the outstanding balance.,cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_13,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00009_14,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Call_CASE_00009_15,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Failure to pay will result in further action.,,,,professional,professional,reminder
Call_CASE_00009_16,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Call_CASE_00009_17,CASE_00009,CUST_0131,Customer,Call,35:19.5,,Phone Call Interaction,"Thanks for the reminder, arranging payment.",cooperative,cooperative,willing_to_pay,,,
Call_CASE_00009_18,CASE_00009,CUST_0131,DCA,Call,35:19.5,,Phone Call Interaction,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00010_1,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_2,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00010_3,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_4,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00010_5,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_6,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00010_7,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_8,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00010_9,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_10,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00010_11,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $250 by end of month.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_12,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00010_13,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00010_14,CASE_00010,CUST_0883,DCA,Email,35:19.5,,Payment Follow-up,Immediate payment is required to avoid escalation.,,,,professional,professional,reminder
Email_CASE_00010_15,CASE_00010,CUST_0883,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_1,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_2,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00011_3,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $1200 .,distressed,frustrated,partial_pay,,,
Email_CASE_00011_4,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00011_5,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_6,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00011_7,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_8,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00011_9,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $750 by 15th Jan.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_10,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00011_11,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,Medical expenses have affected my finances.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_12,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00011_13,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_14,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,This is a polite reminder regarding your overdue invoice.,,,,professional,professional,reminder
Email_CASE_00011_15,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $5000 by Friday.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_16,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Please let us know a suitable payment date.,,,,professional,professional,reminder
Email_CASE_00011_17,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I may be able to pay something soon.,distressed,frustrated,partial_pay,,,
Email_CASE_00011_18,CASE_00011,CUST_0226,DCA,Email,35:19.5,,Payment Follow-up,Failure to pay will result in further action.,,,,professional,professional,reminder
Email_CASE_00011_19,CASE_00011,CUST_0226,Customer,Email,35:19.5,,Payment Follow-up,I lost my job and can only pay $1200 next week.,distressed,frustrated,partial_pay,,,
